ontology_source_row,generated_stub_id,ontology_or_alias_label,common_english_title,status,manuscript_rows,creation_rows,edition_rows,comment
2,stub:ontology:mekhilta-rabbi-ishmael,מכילתא דרבי ישמעאל,Mekhilta de-Rabbi Ishmael,stub_id_for_missing_ontology_id,,3,"2;3;73;74;75;76;77;78;79;80;81;82;83;84","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
3,stub:ontology:mekhilta-rabbi-shimon-bar-yohai,מכילתא דרבי שמעון בן יוחאי,Mekhilta de-Rabbi Shimon bar Yohai,stub_id_for_missing_ontology_id,,4,"4;85;86;87;88","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
4,stub:ontology:sifra,ספרא,Sifra,stub_id_for_missing_ontology_id,,5,"5;89;90;91;92;93;94;95;96;97;98","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
6,stub:ontology:sifrei,ספרי,Sifrei,stub_id_for_missing_ontology_id,,,,"Temporary ID generated for a structural/generic ontology entry. It is not currently referenced by manuscripts, creation narratives, or editions. Ask whether it is a hierarchy parent rather than an ordinary hibur."
7,stub:ontology:sifrei-numbers,ספרי במדבר,Sifrei Numbers,stub_id_for_missing_ontology_id,,6,"6;7;99;100;101;102;103;104;105;106;107","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
8,stub:ontology:sifrei-zuta,ספרי זוטא,Sifrei Zuta,stub_id_for_missing_ontology_id,,,,"Temporary ID generated for a structural/generic ontology entry. It is not currently referenced by manuscripts, creation narratives, or editions. Ask whether it is a hierarchy parent rather than an ordinary hibur."
9,stub:ontology:sifrei-zuta-numbers,ספרי זוטא במדבר,Sifrei Zuta to Numbers,stub_id_for_missing_ontology_id,,7,"108;109;110;111;112","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
10,stub:ontology:sifrei-deuteronomy,ספרי דברים,Sifrei Deuteronomy,stub_id_for_missing_ontology_id,,8,"8;113;114;115;116;117;118;119;120;121;122;123","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
11,stub:ontology:mekhilta-deuteronomy,מכילתא דברים,Mekhilta to Deuteronomy / Midrash Tannaim,stub_id_for_missing_ontology_id,,9,"9;124","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
12,stub:ontology:sifrei-zuta-deuteronomy,ספרי זוטא דברים,Sifrei Zuta to Deuteronomy,stub_id_for_missing_ontology_id,,10,"10;125","Temporary ID generated because the ontology row has no ID חדש? but is used by creation and edition sources. Replace with Eliezer-approved permanent ID."
