אונטולוגיה,יחידה ספרותית,מספר יחידה ספרותית,מספר רץ ,חלוקות משנה וכפל שמות,ID חדש?,מתוך טבלת רישום מדרשים,ID: טבלת רישום מדרשים,שטראק-שטמברגר,ID: שטראק-שטמברגר,"אנציקלופדיה יודאיקה (מ""ד הר)","ID: אנציקלופדיה יודאיקה (מ""ד הר)",ויקיפדיה,ID: ויקיפדיה,"פרוייקט השו""ת","ID: פרוייקט השו""ת",רייזל,ID: רייזל,פרידברג,Friedberg,ID: פרידברג,מ. ביאליק-לרנר,ID: ביאליק לרנר,English Reference MAZAL,MAZAL ID,Common English Title,Transcribed Title,Family,
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,The Mekhilta de Rabbi Ishmael,1,<חוסר>,<חוסר>,מכילתא דרבי ישמעאל,1,מכילתא דרבי ישמעאל,1,מכילתא דרבי ישמעאל,1,מכילתא דרבי ישמעאל,Mekhilta de-Rabbi Yishma‘el,26,<חוסר>,<חוסר>,Mekhilta of R. Ishmael,987007265234705171,Mekhilta de-Rabbi Ishmael,Mekhilta de-Rabbi Yishmael,"Midrash-halakha, Tannaitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,The Mekhilta de Rabbi Simeon ben Yoḥai,2,<חוסר>,<חוסר>,מכילתא דרבי שמעון בן יוחאי,2,מכילתא דרבי שמעון בר יוחאי,2,מכילתא דרבי שמעון בר יוחאי,2,"מכילתא דרשב""י",Mekhilta of R. Simeon b. Yohai,27,<חוסר>,<חוסר>,Mekhilta of Rabbi Simeon ben Yohai,987007310654405171,Mekhilta de-Rabbi Shimon bar Yohai,Mekhilta de-Rabbi Shimon ben Yohai,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,Sifra,3,<חוסר>,<חוסר>,ספרא,3,ספרא,3,ספרא - תורת כהנים,3,ספרא,Sifra,4,<חוסר>,<חוסר>,Sifra,987007286494005171,Sifra,Sifra,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,A 'Mekhilta' on Leviticus?,4,<חוסר>,<חוסר>,<חיבור משוער>,<חיבור משוער>,<חיבור משוער>,<חיבור משוער>,<חיבור משוער>,<חיבור משוער>,<חיבור משוער>,<חיבור משוער>,<חיבור משוער>,<חוסר>,<חוסר>,,,,Mekhilta  Leviticus,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,ספרי,,5,<חוסר>,<חוסר>,Sifrei,987007286493505171,Sifrei,Sifrei,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,Sifre Numbers,5,<חוסר>,<חוסר>,ספרי במדבר,4,ספרי במדבר,4,ספרי במדבר,4,ספרי במדבר,Sifre on Numbers,6,<חוסר>,<חוסר>,Sifrei. Numbers,987007268232705171,Sifrei Numbers,Sifrei Bemidbar,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,Sifre Zutta,6,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,ספרי זוטא,5,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,ספרי זוטא,Sifre Zuta,8,<חוסר>,<חוסר>,Sifrei zuta,987007287482305171,Sifrei Zuta,Sifrei Zuta,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,ספרי זוטא במדבר,5,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,ספרי זוטא במדבר,5,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,,,Sifrei Zuta to Numbers,Sifrei Zuta Bemidbar,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,Sifre Deuteronomy,7,<חוסר>,<חוסר>,ספרי דברים,6,ספרי דברים,6,ספרי דברים,6,ספרי דברים,Sifre on Deuteronomy,7,<חוסר>,<חוסר>,Sifrei. Deuteronomy,987007268232605171,Sifrei Deuteronomy,Sifrei Devarim,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,Midrash Tannaim,8,<חוסר>,<חוסר>,מכילתא דברים,7,מדרש תנאים לדברים,7,מכילתא דברים,7,מכילתא לדברים,Mekhilta on Deuteronomy,28,<חוסר>,<חוסר>,Midrash Tannaim,987007286637605171,Mekhilta to Deuteronomy; Midrash Tannaim,Mekhilta Devarim; Midrash Tannaim,"Midrash-halakha, Tannitic Midrash",
,מדרשי הלכה,0,,,,<חוסר>,<חוסר>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,ספרי זוטא דברים,8,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,ספרי זוטא דברים,8,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,,,Sifrei Zuta to Deuteronomy,Sifrei Zuta Devarim,"Midrash-halakha, Tannitic Midrash",
מדרש רבה על התורה,תורה,1.1-5,1,1,1.1-5:1:1.0,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,מדרש רבה על התורה,Midrash Rabbah on the Torah,36,<חוסר>,<חוסר>,Midrash rabbah. Pentateuch,987007265454105171,Midrash Rabbah on the Torah,Midrash Rabbah on the Torah,"Midrash-Rabba, Aggadic Midrash",
בראשית רבה,בראשית,1.1,1,1.1,1.1:1:1.1,בראשית רבה,1,Genesis Rabbah,9,Genesis Rabbah,1,בראשית רבה,9,בראשית רבה,11,בראשית רבה,9,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<פירוט ו/או הכללה>,<חוסר>,<חוסר>,Midrash rabbah. Genesis,987007286644205171,Genesis Rabbah,Bereshit Rabbah,"Aggadic Midrash, Amoraic Midrash, Midrash-Rabba",
