דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"הורוויץ-רבין, 1931, פרנקפורט",מהדורה ביקורתית,מכילתא דרבי ישמעאל,לא נמצא,Frankfurt,1931,,,,,
"י""ב לויטרבך, 1933-1935, פילדלפיה",מהדורה ביקורתית,מכילתא דרבי ישמעאל,לא נמצא,Philadelphia,1933,,,,,
"אפשטיין-מלמד, 1956, ירושלים",מהדורה ביקורתית,מכילתא דרבי שמעון בר יוחאי,לא נמצא,Jerusalem,1956,,,,,
"א' שושנה, תשנ""א-תשנ""ו, ירושלים",מהדורה ביקורתית,ספרא - תורת כהנים,לא נמצא,Jerusalem,1991,,,,,
"ח""ש הורוויץ, 1917, לייפציג",מהדורה ביקורתית,ספרי במדבר,לא נמצא,Leipzig,1917,,,,,
"מ' כהנא, 1982, ירושלים",מהדורה ביקורתית,ספרי במדבר,לא נמצא,Jerusalem,1982,,,,,
"א""א פינקלשטיין, 1969, ניו יורק",מהדורה ביקורתית,ספרי דברים,לא נמצא,New York,1969,,,,,
"רד""צ הופמן, 1908-1909, ברלין",מהדורה ביקורתית,מכילתא דברים,לא נמצא,Berlin,1908,,,,,
"מ' כהנא, 2003, ירושלים",מהדורה ביקורתית,ספרי זוטא דברים,לא נמצא,Jerusalem,2003,,,,,
"י' תיאודור וח' אלבק, 1936, ברלין",מהדורה ביקורתית,בראשית רבה,1.1:1:1.1,Berlin,1936,,,,,
"א' שנאן, 1984, ירושלים",מהדורה ביקורתית,שמות רבה,1.2:1:1.0,Jerusalem,1984,,,,,
"א' לזרובסקי, 2005, ירושלים",מהדורה ביקורתית,שמות רבה,1.2:1:1.0,Jerusalem,2005,,,,,
"מ' מרגליות, 1953-1954, ירושלים",מהדורה ביקורתית,ויקרא רבה,1.3:1:1.0,Jerusalem,1953,,,,,
"ח' מאק, 1991, ירושלים",מהדורה ביקורתית,במדבר רבה,1.4:1:1.0,Jerusalem,1991,,,,,
"ד' מנדלבוים, 1962, ניו יורק",מהדורה ביקורתית,פסיקתא דרב כהנא,1.25:1:1.0,New York,1962,,,,,
"א""ד קנסקי, 1990, ניו יורק",מהדורה ביקורתית,תנחומא ילמדנו,לא נמצא,New York,1990,,,,,
"ר' אולמר, 1997, אטלנטה",מהדורה ביקורתית,תנחומא ילמדנו,לא נמצא,Atlanta,1997,,,,,
"ה' האן, 1979, פרנקפורט",מהדורה ביקורתית,פסיקתא רבתי,1.25:2:1.0,Frankfurt,1979,,,,,
"ל' קשת, 1993, ירושלים",מהדורה ביקורתית,פסיקתא רבתי,1.25:2:1.0,Jerusalem,1993,,,,,
"ע' קהלני, 2004, ירושלים",מהדורה ביקורתית,אגדת בראשית,1.1:2:1.0,Jerusalem,2004,,,,,
"S.T. Lachs, 1958, Philadelphia",מהדורה ביקורתית,שיר השירים רבה,1.17:1:1.0,Philadelphia,1958,,,,,
"L.F. Girón-Blanc, 1992",מהדורה ביקורתית,שיר השירים רבה,1.17:1:1.0,Sefarad,1992,,,,,
"ש' בובר, תרנ""ד, ברלין",מהדורה ביקורתית,שיר השירים זוטא,1.17:2:1.0,berlin,1971,,,,,
"S. Schechter, 1896, Cambridge",מהדורה ביקורתית,שיר השירים זוטא,1.17:2:1.0,Cambridge,1896,,,,,
"צ""מ רבינוביץ, 1977",מהדורה ביקורתית,שיר השירים זוטא,1.17:2:1.0,Ann Arbor,1997,,,,,
"א' גרינהוט, תרנ""ז, ירושלים",מהדורה ביקורתית,מדרש שיר השירים,1.17:3:1.0,Jerusalem,1897,,,,,
"י""ח ורטהימר, תשל""א, ירושלים",מהדורה ביקורתית,מדרש שיר השירים,1.17:3:1.0,Jerusalem,1971,,,,,
"מ""ב לרנר, תשל""א, ירושלים",מהדורה ביקורתית,רות רבה,1.18:1:1.0,Jerusalem,1971,,,,,
"ר' סלהוב, תש""ס, תל אביב",מהדורה ביקורתית,רות זוטא,1.18:2:1.0,Tel Aviv,2000,,,,,
"מ' הירשמן, תשמ""ג, אן ארבור",מהדורה ביקורתית,קהלת רבה,1.20:1:1.0,Ann Arbor,1983,,,,,
"ר' קיפרווסר, תשנ""ט, רמת גן",מהדורה ביקורתית,קהלת זוטא,1.20:2:1.0,Ramat Gan,1999,,,,,
"פ' מנדל, תשנ""ז, ירושלים",מהדורה ביקורתית,איכה רבה,1.19:1:1.0,Jerusalem,1997,,,,,
"ע' רייזל, תש""ע, ירושלים",מהדורה ביקורתית,איכה זוטא,1.19:2:1.0,Jerusalem,2010,,,,,
"א' עצמון, תשס""ו, רמת גן",מהדורה ביקורתית,אסתר רבה א,לא נמצא,Ramat Gan,2006,,,,,
י' תבורי וא' עצמון,מהדורה ביקורתית,אסתר רבה ב,לא נמצא,Jerusalem,2014,,,,,
"ב' אלבוים, תשס""ו, רמת גן",מהדורה ביקורתית,מדרש אבא גוריון,לא נמצא,Ramat Gan,2006,,,,,
"ש' בובר, תרמ""ז, וילנה",מהדורה ביקורתית,מדרש אבא גוריון,לא נמצא,Vilna,1886,,,,,
"א' עפשטיין, 1887, וינה",מהדורה ביקורתית,מדרש תדשא או ברייתא דרבי פנחס בן יאיר,לא נמצא,Vienna,1887,,,,,
"ז' פרדס-פינשטיין, 1994, ירושלים",מהדורה ביקורתית,מדרש ויושע,133:T,Jerusalem,1994,,,,,
"ת' קדרי, 1997, ירושלים",מהדורה ביקורתית,תשובת יונה הנביא,לא נמצא,Jerusalem,1997,,,,,
"ע' גאולה, תשנ""ח",מהדורה ביקורתית,מדרש אבכיר,4:T,Jerusalem,1998,,,,,
"ש' בובר, תרמ""ה",מהדורה ביקורתית,מדרש דברים זוטא,לא נמצא,Lyck,1985,,,,,
"ע' יסיף, תשס""א, תל אביב",מהדורה ביקורתית,דברי הימים של משה רבנו,לא נמצא,Tel Aviv,2001,,,,,
"ע' שפירא, תשנ""ח, ירושלים",מהדורה ביקורתית,מדרש עשרת הדיברות,לא נמצא,Jerusalem,1998,,,,,
"א""א אורבך, 1978, ירושלים",מהדורה ביקורתית,פתרון תורה,1.3-5:1:1.0,Jerusalem,1978,,,,,
"ש' בובר, 1880, וילנה",מהדורה ביקורתית,לקח טוב - פסיקתא זוטרתא,לא נמצא,Vilna,1880,,,,,
"ש' בובר, 1900, ברלין",מהדורה ביקורתית,ילקוט שכל טוב,לא נמצא,Berlin,1900,,,,,
"ד' היימן וי' שילוני, 1973-1999, ירושלים",מהדורה ביקורתית,ילקוט שמעוני,1:1:1.0,Jerusalem,1973,,,,,
"מדרש הגדול בראשית ושמות, מהד' מ' מרגליות, תש""ז-תשט""ז",מהדורה ביקורתית,מדרש הגדול,1.1-5:3:1.0,Jerusalem,1947,,,,,
"מדרש הגדול ויקרא, מהד' נ""א רבינוביץ, תר""ץ",מהדורה ביקורתית,מדרש הגדול,1.1-5:3:1.0,New York,1930,,,,,
"מדרש הגדול ויקרא, מהד' ע' שטיינזלץ, תשל""ו",מהדורה ביקורתית,מדרש הגדול,1.1-5:3:1.0,Jerusalem,1976,,,,,
"מדרש הגדול במדבר, מהד' צ""מ רבינוביץ, תשכ""ז",מהדורה ביקורתית,מדרש הגדול,1.1-5:3:1.0,Tel Aviv,1967,,,,,
"מדרש הגדול במדבר, מהד' ש' פיש, ת""ש-תשכ""ג",מהדורה ביקורתית,מדרש הגדול,1.1-5:3:1.0,Jerusalem,1940,,,,,
"מדרש הגדול דברים, מהד' ש' פיש, תשל""ג",מהדורה ביקורתית,מדרש הגדול,1.1-5:3:1.0,Jerusalem,1973,,,,,
"י""ז כהנא-שפירא, 1893, ברלין",מהדורה ביקורתית,ילקוט המכירי,לא נמצא,Berlin,1893,,,,,
"ש' בובר, 1900, ברדיטשוב",מהדורה ביקורתית,ילקוט המכירי,לא נמצא,Berdychiv,1900,,,,,
"א' גרינהוף, 1909-1913, לונדון",מהדורה ביקורתית,ילקוט המכירי,לא נמצא,London,1909,,,,,
"א' גרינהוף, 1924-1925",מהדורה ביקורתית,ילקוט המכירי,לא נמצא,Philadelphia,1924,,,,,
"י""מ בדאהב, 1927, ירושלים",מהדורה ביקורתית,ילקוט המכירי,לא נמצא,Jerusalem,1927,,,,,
"א' גרינהוט, 1903, ירושלים",מהדורה ביקורתית,ילקוט המכירי,לא נמצא,Jerusalem,1903,,,,,
"ב' ליפשיץ, תשס""ט, ירושלים",מהדורה ביקורתית,מדרש שמואל,1.8:1:1.0,Jerusalem,2009,,,,,
