Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
,ספרות תנחומא-ילמדנו,1,990001929610205171,,"ספריית הוטיקן, קרית הוטיקן, מדינת קרית הוטיקן Ms. ebr. 34",תנחומא בובר,,,,,,,,V
2,ספרות תנחומא-ילמדנו,1,990001967550205171,"According to Ktiv the MSs is not digitized. Available in the Vatican website, divided into 2 volumes: https://digi.vatlib.it/view/MSS_Vat.ebr.44.pt.1; https://digi.vatlib.it/view/MSS_Vat.ebr.44.pt.1","ספריית הוטיקן, קרית הוטיקן, מדינת קרית הוטיקן Ms. ebr. 44","תנחומא הנדפס - קושטא, אבות דרבי נתן א, מדרש משלי, מעשה תורה לרבינו הקדוש, מעשה רבי יהושע בן לוי, אלפא ביתא דבן סירא, יצירת הולד",תנחומא הנדפס: עם מקצת חומרי תנחומא בובר. ,"שני כרכים נפרדים בספרייה, יש לטפל בשניהם",V-,,"בתוצרים של פרוייקט תיקון סופרים, לא משוקלל",,,V
3,ספרות תנחומא-ילמדנו,1,990000836520205171,,"ספריית פלטינה, פרמה, איטליה Cod. Parm. 3122","תנחומא בובר, פסיקתא רבתי, שיר השירים רבה, דברים רבה, איכה רבה, מדרש משלי, מדרשים קטנים - לפני בירור","תנחומא בובר; פסיקתא רבתי; שיר השירים רבה; מדרש משלי; תנא דברי אליהו זוטא; פרקי דרבי אליעזר; דברים רבה (?ליברמן/הנדפס?); איכה רבה; מדרשים קטנים: אמירות לעתיד ולאמצע (?), יצירת הולד; ארבעה מלכים; אותיות דר""ע",,,,,"שים לב לצירוף איכה רבה + דברים רבה הנדפס גם בכ""י מינכן 229",,V
4,ספרות תנחומא-ילמדנו,1,990000552480205171,Gen Rab (pp. ** - **) complicated layout,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Opp. Add. fol. 3","בראשית רבה, שמות רבה, ויקרא רבה, במדבר רבה, דברים רבה ליברמן, יצירת הולד",,,V,סינופסיס שלאטר-מיליקובסקי,ויקרא רבה בלבד,,,V
5,ספרות תנחומא-ילמדנו,1,990001289160205171,,"הספרייה הלאומית של צרפת, פריס, צרפת Ms. hebr. 150",במדבר רבה,,,V-,,במקורות ובתוצרים של פרוייקט תיקון סופרים,,,
6,ספרות תנחומא-ילמדנו,1,990001342610205171,,"ספריית ז'נבה, ז'נבה, שווייץ Ms. Comites Latentes 146",תנחומא הנדפס - קושטא,,ויקרא - דברים,V-,,בתוצרים של פרוייקט תיקון סופרים,,,V
7,ספרות תנחומא-ילמדנו,1,990025700870205171,Gen Rab (pp. ** - **) complicated layout,"The National Library of Israel, Jerusalem, Israel Ms. Heb. 24°5977","בראשית רבה, שמות רבה, ויקרא רבה, במדבר רבה, דברים רבה ליברמן",,,V,סינופסיס שלאטר-מיליקובסקי,ויקרא רבה בלבד,"פורמט זהה לספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Opp. Add. fol. 3",,V
8,ספרות תנחומא-ילמדנו,1,990000449840205171,,"The National Library of Israel, Jerusalem, Israel Ms. Heb. 38°515","בראשית רבה, שמות רבה, ויקרא רבה, במדבר רבה",,,,,,עם חוסרים ושינויים מן הנדפס,"https://www.nli.org.il/he/discover/manuscripts/hebrew-manuscripts/viewerpage?vid=MANUSCRIPTS#d=[[PNX_MANUSCRIPTS990000449840205171-1,FL75484662]]",V
9,ספרות תנחומא-ילמדנו,1,990001278900205171,,"ספריית מדינת בווריה, מינכן, Cod.hebr. 229","איכה רבה, דברים רבה ליברמן",,,,,,,,V
10,מדרשי רבה,1,990000993040205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Opp. Add. fol. 51","בראשית רבה, שמות רבה, ויקרא רבה, במדבר רבה, דברים רבה",,,,,,,,V
11,ספרות תנחומא-ילמדנו,2,990001322210205171,,"הספרייה הלאומית של צרפת, פריס, צרפת Ms. hebr. 1408",דברים רבה,דברים רבה: ח:א - יא:ח,,,,,,,V
12,ספרות תנחומא-ילמדנו,1,990001289900205171,,"הספרייה הלאומית של צרפת, פריס, צרפת Ms. hebr. 187","שמות רבה, סדר עולם",סדר עולם: קיצור החיבור; דורש עוד השלמות: 'מסכת תמורה' - האם הכוונה למדרש תמורה? מעשה תתורה - האם שווה למעשה תורה לרבינו הקדוש?,,,,,,,
13,ספרות תנחומא-ילמדנו,1,990000851000205171,,"ספריית אנג'ליקה, רומא, איטליה Ms. Or 61","תנחומא הנדפס - קושטא, במדבר רבה, דברים רבה ליברמן","תנחומא הנדפס: דורש עוד בירור; דברים רבה ליברמן - כך ברגמן על פי עפשטיין. במדבר רבה - קרבת נוסח מבהעלותך ואילך, על פי ברגמן. ",,,,,,,V
14,ספרות תנחומא-ילמדנו,1,990001348660205171,,"בניהו, מאיר, ירושלים, ישראל","תנחומא הנדפס - קושטא, במדבר רבה, שמות רבה","תנחומא הנדפס: דורש עוד בירור. ; לפי קטלוג הספרייה הלאומית ולפי שנאן, שמות רבה, עמ' 25, מדובר במדרש רבה לכל התורה.",,,,,,,V
15,ספרות תנחומא-ילמדנו,1,990001176730205171,,"ספריית המכון להיסטוריה יהודית על שם עמנואל רינגלבלום, ורשה, Ms. 257
",במדבר רבה,,המשכו בכי' ניו  יורק 10485,,,,,,
16,ספרות תנחומא-ילמדנו,1,990000880130205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Hunt. Don. 20",תנחומא הנדפס - קושטא,,,,,,,,V
17,ספרות תנחומא-ילמדנו,1,990000721930205171,,"ספריית פלטינה, פרמה, איטליה Cod. Parm. 3254","תנחומא הנדפס - מנטובה, פסיקתא דרב כהנא, איכה רבה","תנחומא מנטובה - כולל חומרים משותפים, לא זהה. פסיקתא דרב כהנא - חטיבת ההפטרות בלבד.",,,,,,,V
18,ספרות תנחומא-ילמדנו,1,990001393590205171,,"ספריית אוניברסיטת קמברידג', קמברידג', אנגליה Ms. Add. 1212",תנחומא הנדפס - קושטא,תנחומא הנדפס - כולל חומרים ייחודיים;,מסירת היסוד באתר מאגרים,,,,,,V
19,ספרות תנחומא-ילמדנו,1,990000993060205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, אנגליה Ms. Hunt. 74",תנחומא הנדפס - קושטא,"תנחומא הנדפס עם תוספות, חלק נדפסו בידי בובר, חלק בזיקה למנטובה ",,,,,,,V
20,ספרות תנחומא-ילמדנו,1,990001360690205171,,"ספריית אוניברסיטת קולומביה, ניו יורק, ניו יורק, ארצות הברית Ms. X 893 M 5843",תנחומא הנדפס - קושטא,תנחומא הנדפס - בראשית שמות בלבד.,,,,,,,V
21,ספרות תנחומא-ילמדנו,1,990001303340205171,,"ספריית אוניברסיטת ישיבה, ניו יורק, ניו יורק, ארצות הברית Ms. 1372",תנחומא הנדפס - קושטא,"תנחומא הנדפס - בראשית שמות בלבד, חסר מעט בראש ובסוף.",,,,,,,V
